Unnamed: 0,Unnamed: 1,Session Info,Session Info.1,Session Info.2,Unnamed: 5,Last Deal,Last Deal.1,Last Deal.2,Unnamed: 9,End of day info,End of day info.1,End of day info.2,Unnamed: 13,Reference prices,Reference prices.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Fecha_Extraccion
ISIN Code: PTFTO0464324Nominal Fixo MWH: 720Trading last day: 2026-10-30Trading quotation: €/MWhFTB M Nov-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,1,0,0,,124.50,118.07,,,,,2026-08-24
ISIN Code: PTFTO0464332Nominal Fixo MWH: 744Trading last day: 2026-11-30Trading quotation: €/MWhFTB M Dec-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,4,0,0,,121.50,118.07,,,,,2026-08-24
ISIN Code: PTFTO0464340Nominal Fixo MWH: 744Trading last day: 2026-12-31Trading quotation: €/MWhFTB M Jan-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,12,0,0,,111.28,99.28,,,,,2026-08-24
ISIN Code: PTFTO0464357Nominal Fixo MWH: 672Trading last day: 2027-01-29Trading quotation: €/MWhFTB M Feb-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,4,0,0,,96.15,94.12,,,,,2026-08-24
ISIN Code: PTFTO0404254Nominal Fixo MWH: 2209Trading last day: 2026-09-28Trading quotation: €/MWhFTB Q4-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,361,4,8836,,121.77,117.20,,,,,2026-08-24
ISIN Code: PTFTO0404262Nominal Fixo MWH: 2159Trading last day: 2026-12-29Trading quotation: €/MWhFTB Q1-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,31,0,0,,98.50,96.47,,,,,2026-08-24
ISIN Code: PTFTO0404270Nominal Fixo MWH: 2184Trading last day: 2027-03-25Trading quotation: €/MWhFTB Q2-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,1,0,0,,52.94,52.93,,,,,2026-08-24
ISIN Code: PTFTO0404288Nominal Fixo MWH: 2208Trading last day: 2027-06-28Trading quotation: €/MWhFTB Q3-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,77.00,75.83,,,,,2026-08-24
ISIN Code: PTFTO0464407Nominal Fixo MWH: 2209Trading last day: 2027-09-28Trading quotation: €/MWhFTB Q4-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,1,0,0,,77.00,76.00,,,,,2026-08-24
ISIN Code: PTFTO0464415Nominal Fixo MWH: 2183Trading last day: 2027-12-29Trading quotation: €/MWhFTB Q1-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,66.91,66.26,,,,,2026-08-24
ISIN Code: PTFTO0464423Nominal Fixo MWH: 2184Trading last day: 2028-03-29Trading quotation: €/MWhFTB Q2-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,43.85,43.20,,,,,2026-08-24
ISIN Code: PTFTO0138373Nominal Fixo MWH: 8760Trading last day: 2026-12-29Trading quotation: €/MWhFTB YR-27,,n.a.,n.a.,8760,,76.00,11h:58m:02s,8760,,212,1,0,,76.30,75.25,,,,,2026-08-24
ISIN Code: PTFTO0179658Nominal Fixo MWH: 8784Trading last day: 2027-12-29Trading quotation: €/MWhFTB YR-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,127,0,0,,59.80,59.15,,,,,2026-08-24
ISIN Code: PTFTO0179666Nominal Fixo MWH: 8760Trading last day: 2028-12-28Trading quotation: €/MWhFTB YR-29,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,111,0,0,,54.10,54.17,,,,,2026-08-24
ISIN Code: PTFTO0179674Nominal Fixo MWH: 8760Trading last day: 2029-12-28Trading quotation: €/MWhFTB YR-30,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,103,0,0,,50.50,50.50,,,,,2026-08-24
ISIN Code: PTFTO0184708Nominal Fixo MWH: 8760Trading last day: 2030-12-27Trading quotation: €/MWhFTB YR-31,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,102,0,0,,50.00,50.00,,,,,2026-08-24
ISIN Code: PTFTO0230329Nominal Fixo MWH: 8784Trading last day: 2031-12-29Trading quotation: €/MWhFTB YR-32,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,18,0,0,,48.97,48.97,,,,,2026-08-24
ISIN Code: PTFTO0284011Nominal Fixo MWH: 8760Trading last day: 2032-12-29Trading quotation: €/MWhFTB YR-33,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,18,0,0,,48.72,48.72,,,,,2026-08-24
ISIN Code: PTFTO0344005Nominal Fixo MWH: 8760Trading last day: 2033-12-29Trading quotation: €/MWhFTB YR-34,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,3,0,0,,47.92,47.92,,,,,2026-08-24
ISIN Code: PTFTO0404296Nominal Fixo MWH: 8760Trading last day: 2034-12-28Trading quotation: €/MWhFTB YR-35,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,3,0,0,,47.22,47.22,,,,,2026-08-24
ISIN Code: PTFTO0464449Nominal Fixo MWH: 8784Trading last day: 2035-12-28Trading quotation: €/MWhFTB YR-36,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,3,0,0,,46.62,46.62,,,,,2026-08-24
ISIN Code: PTFTO0464464Nominal Fixo MWH: 87672Trading last day: 2026-12-29Trading quotation: €/MWhFTB PPA 27/36,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,53.01,52.85,,,,,2026-08-24
ISIN Code: PTFTO0404304Nominal Fixo MWH: 43824Trading last day: 2026-12-29Trading quotation: €/MWhFTB PPA 27/31,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,58.14,57.81,,,,,2026-08-24
ISIN Code: PTFTO0464456Nominal Fixo MWH: 43848Trading last day: 2027-12-29Trading quotation: €/MWhFTB PPA 28/32,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,52.68,52.56,,,,,2026-08-24
